k4,k6,k12,k18,k30,k4_g,k6_g,k12_g,k18_g,k30_g
0.920264901,0.9936,0.848918322,0.797333333,0.758786099,403.1881188,411.6534653,361.3069307,285.7128713,119.3762376
0.912582781,0.9964,0.859072848,0.807952381,0.769530103,402.3267327,411.8613861,364.7227723,292.3366337,132.4158416
0.904547461,0.9984,0.868874172,0.818285714,0.780029369,401.4257426,412.009901,368.019802,298.7821782,145.1584158
0.89615894,0.9996,0.878322296,0.828333333,0.790283896,400.4851485,412.0990099,371.1980198,305.049505,157.6039604
0.887417219,1,0.887417219,0.838095238,0.800293686,399.5049505,412.1287129,374.2574257,311.1386139,169.7524752
0.878322296,0.9996,0.89615894,0.847571429,0.810058737,398.4851485,412.0990099,377.1980198,317.049505,181.6039604
0.868874172,0.9984,0.904547461,0.856761905,0.81957905,397.4257426,412.009901,380.019802,322.7821782,193.1584158
0.859072848,0.9964,0.912582781,0.865666667,0.828854626,396.3267327,411.8613861,382.7227723,328.3366337,204.4158416
0.848918322,0.9936,0.920264901,0.874285714,0.837885463,395.1881188,411.6534653,385.3069307,333.7128713,215.3762376
0.838410596,0.99,0.927593819,0.882619048,0.846671561,394.009901,411.3861386,387.7722772,338.9108911,226.039604
0.827549669,0.9856,0.934569536,0.890666667,0.855212922,392.7920792,411.0594059,390.1188119,343.9306931,236.4059406
0.816335541,0.9804,0.941192053,0.898428571,0.863509545,391.5346535,410.6732673,392.3465347,348.7722772,246.4752475
0.804768212,0.9744,0.947461369,0.905904762,0.871561429,390.2376238,410.2277228,394.4554455,353.4356436,256.2475248
0.792847682,0.9676,0.953377483,0.913095238,0.879368576,388.9009901,409.7227723,396.4455446,357.9207921,265.7227723
0.780573951,0.96,0.958940397,0.92,0.886930984,387.5247525,409.1584158,398.3168317,362.2277228,274.9009901
0.76794702,0.9516,0.96415011,0.926619048,0.894248654,386.1089109,408.5346535,400.0693069,366.3564356,283.7821782
0.754966887,0.9424,0.969006623,0.932952381,0.901321586,384.6534653,407.8514851,401.7029703,370.3069307,292.3663366
0.741633554,0.9324,0.973509934,0.939,0.90814978,383.1584158,407.1089109,403.2178218,374.0792079,300.6534653
0.72794702,0.9216,0.977660044,0.944761905,0.914733235,381.6237624,406.3069307,404.6138614,377.6732673,308.6435644
0.713907285,0.91,0.981456954,0.950238095,0.921071953,380.049505,405.4455446,405.8910891,381.0891089,316.3366337
